Q4VC05-2	Q92624
P49761-1	P38159-1
Q49A88-2	G5E962
A0A0A0MT20	Q8IY31-3
Q9HC52	Q9NRD5-1
P23284	P17066
Q99571-1	P26371
O75081-1	Q7L775
Q9BYR2	P32242
Q9H2L4	Q16623-1
Q7L775	Q70EL1-9
Q6RVD6-1	P60411-1
P36508-1	Q96JM7-2
Q8WWG1	O43889-2
P17036-1	ensembl:ENSP00000476265.1
Q96E35	Q3YBR2-1
Q12805-1	Q12933-1
O43593-1	Q99932-2
P55735-1	Q96D03
P07947	Q9BWW4-1
Q96KN3-1	Q99816-1
P60329	P49901
O76011	Q8IYE0-1
Q96BZ8	Q96RU7
Q4LDR2	Q9NRX6
P50222	P62508-2
Q9NTJ5-1	Q8TDV0
Q9BUN8-1	Q8IWU4-2
Q00534	P42773
Q9Y281-1	P23528
ensembl:ENSP00000391869.3	Q9Y230-1
O14964-1	Q7Z6I5
Q8WWY3-1	Q63ZY3-1
Q15040	P60410
Q9NRD5-1	Q02363
Q02930-4	O43609
Q8IX15-1	Q9UEG4
Q7Z3I7	A0A088AWP1
Q9HAZ1	P52294
Q3ZAQ7-1	Q6ICL7-1
Q86VI4-2	Q8TED1
Q8TAU3-1	Q8WV44-1
Q99932-2	P0CG21
Q13287	Q9H9Q2-2
P47224	Q8TBB1-1
Q8N5M4-1	A0A024R0Y4
Q8WW24	Q8IUC3
O95859-1	P54852
Q00994-1	Q8N6Y0-1
Q6IN84-1	Q6RW13-2
O43889-2	Q9BWQ6
Q15438-1	Q8WWN9-1
P19784	P67870
Q9BYR5	P60409
Q12933-1	Q6IBW4-1
P45984-1	Q13363-2
Q13227-1	Q86VW0
O43889-2	P41227-1
ensembl:ENSP00000462298.1	Q9UK33
H3BR45	Q8N6Y0-1
A0A024RAC6	Q96RE7
P56279	Q13137-1
Q8N8B7-1	Q9Y2T1
Q8TD06	P15529-3
Q8N9Q2	ensembl:ENST00000468662.5
O75604-1	Q8WTU0
Q6ZUT1-3	Q9UK58-1
Q8NFU4	Q9UHD9
P17152	O95214-1
O43681	O95196-2
O75459	P02786
Q15014	Q53EZ4-1
Q8TAC1-1	P09105
P51668	Q96B67
Q9NQX5	P60370
