Country,Imports [Percent of GDP] 2016,Income per person [GDP per person] 2020,Exports [Percent of GDP] 2016,CO2 emissions [Tonnes per Person] 2014,Energy production [Tonnes of oil equivalent per Person] 2009,Inflation annual [Percent] 2017,Life expectancy [Years] 2018,Babies per woman 2018,Democracy score 2011,Median age [Years] 2020,Military expenditure [Percent of GDP] 2016,Oil production [Tonnes] 2016,Child mortality [0-5 year olds dying per 1000 born] 2018
Egypt,19.7,11500.0,10.3,2.2,0.0011099999999999999,22.9,72.6,3.15,-2.0,25.3,1.5,33800000.0,21.3
El Salvador,44.1,8590.0,27.9,1.0,0.0005099999999999999,1.38,75.8,2.04,8.0,27.6,0.922,,13.9
Equatorial Guinea,41.2,18000.0,51.3,4.73,,12.5,66.1,4.51,-5.0,22.4,0.179,13100000.0,86.2
Eritrea,,1260.0,,0.147,0.00011,,64.6,3.99,-7.0,19.3,,,38.9
Estonia,75.1,31300.0,79.0,14.8,0.0031,3.98,77.7,1.66,9.0,42.7,2.13,,2.9
Ethiopia,27.6,2010.0,7.95,0.11900000000000001,0.00037,6.32,66.4,3.97,1.0,19.8,0.6709999999999999,,53.9
Fiji,51.6,10000.0,26.4,1.32,,2.99,65.8,2.47,-4.0,28.6,0.961,,20.5
Finland,36.8,41200.0,36.0,8.66,0.0031,0.932,82.1,1.78,10.0,42.8,1.43,,1.95
France,31.0,40000.0,30.2,4.72,0.00207,0.996,82.6,1.97,9.0,42.0,2.33,,3.53
Gabon,27.0,18300.0,44.1,2.77,0.0092,1.3,67.3,3.66,3.0,23.1,1.43,11400000.0,45.8
Gambia,41.9,1580.0,23.0,0.268,,8.14,67.8,5.29,-5.0,17.5,,,63.8
Georgia,59.3,11000.0,43.6,2.25,0.00029,6.49,74.3,1.98,6.0,38.7,2.45,,10.6
Germany,38.1,46300.0,46.1,8.83,0.0015400000000000001,1.54,81.3,1.48,10.0,46.6,1.2,,3.05
Ghana,48.3,4650.0,41.1,0.537,0.0003,13.4,66.6,3.87,8.0,21.1,0.382,,56.4
Greece,31.2,26600.0,30.5,5.98,0.0008900000000000001,0.669,81.3,1.3,10.0,45.3,2.55,,3.47
Grenada,52.4,14100.0,56.1,2.28,,2.12,71.9,2.06,,29.4,,,14.6
Guatemala,27.5,7720.0,19.5,1.15,0.00043,3.62,73.2,2.87,8.0,22.9,0.423,,26.3
Guinea,81.5,1340.0,29.4,0.207,,16.7,61.9,4.7,5.0,19.0,2.49,,79.7
Guinea-Bissau,31.3,1630.0,26.5,0.157,,5.95,59.7,4.48,6.0,19.4,,,84.1
